Layers,Nodes,Function,train MSE,test MSE
5,32,1/x,3245.332763671875,12483.6484375
5,32,1/x**2,2757023488.0,2207515648.0
5,32,1/x**3,61057599012864.0,22493475635200.0
5,32,1/x**4,604559179776.0,250466926592.0
5,32,1/x**5,1608109306937344.0,70922014818304.0
5,32,sin(x),2.2331983018375468e-06,2.1122411908436334e-06
5,32,cos(x),7.601428251291509e-07,7.51700326873106e-07
5,32,sin(2x),0.00025966649991460145,0.00026454811450093985
5,32,cos(2x),7.006409578025341e-05,8.156130206771195e-05
5,32,sin(x**2),6.659334758296609e-05,0.00010407176159787923
5,32,cos(x**2),0.0005223898915573955,0.0006183205987326801
5,32,tan(x),661.6990356445312,71.92418670654297
5,32,exp(x),0.00026540367980487645,0.0001252598740393296
5,32,sqrt(x),3.599267438403331e-05,3.949703022954054e-05
5,32,log(x),0.007302672602236271,0.01313924789428711
5,32,exp(-x**2),4.0679552171241085e-07,4.391342827148037e-07
5,64,x,1.543510919077562e-08,1.5908906192407812e-08
5,64,x**2,0.00033775216434150934,0.0003750405157916248
5,64,x**3,0.01731829345226288,0.01587958261370659
5,64,x**4,0.008380263112485409,0.008672061376273632
5,64,x**5,0.09044024348258972,0.0667884424328804
5,64,1/x,4752.255859375,8645.6123046875
5,64,1/x**2,2734496768.0,2044493312.0
5,64,1/x**3,43618979020800.0,3429791432704.0
5,64,1/x**4,310642573312.0,321975320576.0
5,64,1/x**5,1595415665311744.0,65466613628928.0
5,64,sin(x),1.556247480039019e-05,1.6639842215226963e-05
5,64,cos(x),6.615855909331003e-06,6.204974397405749e-06
5,64,sin(2x),2.065187982225325e-05,2.943373692687601e-05
5,64,cos(2x),2.0856581613770686e-05,2.266943920403719e-05
5,64,sin(x**2),0.0008469764143228531,0.0011197689455002546
5,64,cos(x**2),0.00032361591001972556,0.00014767925313208252
5,64,tan(x),608.4329223632812,77.97313690185547
5,64,exp(x),0.00038813651190139353,0.00030195433646440506
5,64,sqrt(x),1.810417052183766e-05,2.1780539100291207e-05
5,64,log(x),0.0021846320014446974,0.003718220628798008
5,64,exp(-x**2),2.0727105720652617e-07,2.1758226864676544e-07
5,128,x,3.2346539228456095e-05,3.285278580733575e-05
5,128,x**2,0.0005866542342118919,0.0005632207612507045
5,128,x**3,0.030537674203515053,0.035039614886045456
5,128,x**4,0.004430464934557676,0.00751989521086216
5,128,x**5,0.6099199056625366,0.590221643447876
5,128,1/x,4767.4423828125,8738.009765625
5,128,1/x**2,3105129728.0,3076445696.0
5,128,1/x**3,34145480736768.0,50792161280.0
5,128,1/x**4,305297129472.0,267050500096.0
5,128,1/x**5,1558345802579968.0,33619651330048.0
5,128,sin(x),7.12575092620682e-06,6.418073098757304e-06
5,128,cos(x),1.2171698472229764e-05,1.2899499779450707e-05
5,128,sin(2x),2.9936896680737846e-05,4.206701123621315e-05
5,128,cos(2x),0.0002460584510117769,0.00026939157396554947
5,128,sin(x**2),0.0004419616307131946,0.000784489675424993
5,128,cos(x**2),0.000746880192309618,0.0006727552390657365
5,128,tan(x),631.3561401367188,60.61528396606445
5,128,exp(x),0.00010216011287411675,0.00014851958258077502
5,128,sqrt(x),2.4522039893781766e-05,2.9933140467619523e-05
5,128,log(x),0.0011313401628285646,0.002615249715745449
5,128,exp(-x**2),2.0189332872178056e-07,2.111853945052644e-07
5,256,x,1.0962615306198131e-05,1.0874978215724695e-05
5,256,x**2,2.447434417263139e-05,1.5163668649620377e-05
5,256,x**3,0.004260705783963203,0.005021702032536268
5,256,x**4,0.6112209558486938,0.22471283376216888
5,256,x**5,1.071292519569397,1.3511923551559448
5,256,1/x,2950.27197265625,13778.94140625
5,256,1/x**2,8368057344.0,14661560320.0
5,256,1/x**3,29453799391232.0,2138923204608.0
5,256,1/x**4,126193311744.0,30902523904.0
5,256,1/x**5,1554520463114240.0,29732435394560.0
5,256,sin(x),2.127767584170215e-05,2.1724254111177288e-05
5,256,cos(x),7.148682925617322e-06,6.886868504807353e-06
5,256,sin(2x),1.4018921319802757e-05,1.4649117474618834e-05
5,256,cos(2x),2.239053719677031e-05,2.1088309949846007e-05
5,256,sin(x**2),0.00019164523109793663,0.00022376133711077273
5,256,cos(x**2),0.0010292927036061883,0.00043355030356906354
5,256,tan(x),603.7254028320312,64.94517517089844
5,256,exp(x),0.004403514787554741,0.004495956469327211
5,256,sqrt(x),3.312255284981802e-05,4.0601269574835896e-05
5,256,log(x),0.0018804020946845412,0.00274903723038733
5,256,exp(-x**2),4.4907827145834744e-07,4.1617110468905594e-07
